(1, 2, 3, 4, 5, 6)	0
(1, 2, 3, 4, 5, 7)	3
(1, 2, 3, 4, 5, 8)	3
(1, 2, 3, 4, 5, 9)	0
(1, 2, 3, 4, 5, 10)	1
(1, 2, 3, 4, 6, 7)	2
(1, 2, 3, 4, 6, 8)	3
(1, 2, 3, 4, 6, 9)	1
(1, 2, 3, 4, 6, 10)	1
(1, 2, 3, 4, 7, 8)	7
(1, 2, 3, 4, 7, 9)	0
(1, 2, 3, 4, 7, 10)	5
(1, 2, 3, 4, 8, 9)	0
(1, 2, 3, 4, 8, 10)	5
(1, 2, 3, 4, 9, 10)	0
(1, 2, 3, 5, 6, 7)	17
(1, 2, 3, 5, 6, 8)	11
(1, 2, 3, 5, 6, 9)	1
(1, 2, 3, 5, 6, 10)	15
(1, 2, 3, 5, 7, 8)	22
(1, 2, 3, 5, 7, 9)	0
(1, 2, 3, 5, 7, 10)	21
(1, 2, 3, 5, 8, 9)	0
(1, 2, 3, 5, 8, 10)	25
(1, 2, 3, 5, 9, 10)	1
(1, 2, 3, 6, 7, 8)	12
(1, 2, 3, 6, 7, 9)	0
(1, 2, 3, 6, 7, 10)	17
(1, 2, 3, 6, 8, 9)	0
(1, 2, 3, 6, 8, 10)	16
(1, 2, 3, 6, 9, 10)	0
(1, 2, 3, 7, 8, 9)	0
(1, 2, 3, 7, 8, 10)	18
(1, 2, 3, 7, 9, 10)	0
(1, 2, 3, 8, 9, 10)	0
(1, 2, 4, 5, 6, 7)	118
(1, 2, 4, 5, 6, 8)	143
(1, 2, 4, 5, 6, 9)	1
(1, 2, 4, 5, 6, 10)	151
(1, 2, 4, 5, 7, 8)	160
(1, 2, 4, 5, 7, 9)	0
(1, 2, 4, 5, 7, 10)	162
(1, 2, 4, 5, 8, 9)	3
(1, 2, 4, 5, 8, 10)	149
(1, 2, 4, 5, 9, 10)	5
(1, 2, 4, 6, 7, 8)	148
(1, 2, 4, 6, 7, 9)	4
(1, 2, 4, 6, 7, 10)	154
(1, 2, 4, 6, 8, 9)	0
(1, 2, 4, 6, 8, 10)	166
(1, 2, 4, 6, 9, 10)	3
(1, 2, 4, 7, 8, 9)	4
(1, 2, 4, 7, 8, 10)	203
(1, 2, 4, 7, 9, 10)	3
(1, 2, 4, 8, 9, 10)	0
(1, 2, 5, 6, 7, 8)	163
(1, 2, 5, 6, 7, 9)	2
(1, 2, 5, 6, 7, 10)	153
(1, 2, 5, 6, 8, 9)	2
(1, 2, 5, 6, 8, 10)	164
(1, 2, 5, 6, 9, 10)	2
(1, 2, 5, 7, 8, 9)	1
(1, 2, 5, 7, 8, 10)	189
(1, 2, 5, 7, 9, 10)	3
(1, 2, 5, 8, 9, 10)	1
(1, 2, 6, 7, 8, 9)	2
(1, 2, 6, 7, 8, 10)	140
(1, 2, 6, 7, 9, 10)	2
(1, 2, 6, 8, 9, 10)	0
(1, 2, 7, 8, 9, 10)	1
(1, 3, 4, 5, 6, 7)	12
(1, 3, 4, 5, 6, 8)	12
(1, 3, 4, 5, 6, 9)	0
(1, 3, 4, 5, 6, 10)	12
(1, 3, 4, 5, 7, 8)	16
(1, 3, 4, 5, 7, 9)	0
(1, 3, 4, 5, 7, 10)	19
(1, 3, 4, 5, 8, 9)	0
(1, 3, 4, 5, 8, 10)	17
(1, 3, 4, 5, 9, 10)	0
(1, 3, 4, 6, 7, 8)	29
(1, 3, 4, 6, 7, 9)	1
(1, 3, 4, 6, 7, 10)	31
(1, 3, 4, 6, 8, 9)	0
(1, 3, 4, 6, 8, 10)	21
(1, 3, 4, 6, 9, 10)	1
(1, 3, 4, 7, 8, 9)	2
(1, 3, 4, 7, 8, 10)	34
(1, 3, 4, 7, 9, 10)	0
(1, 3, 4, 8, 9, 10)	0
(1, 3, 5, 6, 7, 8)	88
(1, 3, 5, 6, 7, 9)	4
(1, 3, 5, 6, 7, 10)	72
(1, 3, 5, 6, 8, 9)	1
(1, 3, 5, 6, 8, 10)	100
(1, 3, 5, 6, 9, 10)	5
(1, 3, 5, 7, 8, 9)	4
(1, 3, 5, 7, 8, 10)	122
(1, 3, 5, 7, 9, 10)	3
(1, 3, 5, 8, 9, 10)	0
(1, 3, 6, 7, 8, 9)	3
(1, 3, 6, 7, 8, 10)	94
(1, 3, 6, 7, 9, 10)	1
(1, 3, 6, 8, 9, 10)	1
(1, 3, 7, 8, 9, 10)	2
(1, 4, 5, 6, 7, 8)	545
(1, 4, 5, 6, 7, 9)	10
(1, 4, 5, 6, 7, 10)	551
(1, 4, 5, 6, 8, 9)	14
(1, 4, 5, 6, 8, 10)	659
(1, 4, 5, 6, 9, 10)	16
(1, 4, 5, 7, 8, 9)	14
(1, 4, 5, 7, 8, 10)	668
(1, 4, 5, 7, 9, 10)	24
(1, 4, 5, 8, 9, 10)	8
(1, 4, 6, 7, 8, 9)	7
(1, 4, 6, 7, 8, 10)	654
(1, 4, 6, 7, 9, 10)	15
(1, 4, 6, 8, 9, 10)	11
(1, 4, 7, 8, 9, 10)	8
(1, 5, 6, 7, 8, 9)	9
(1, 5, 6, 7, 8, 10)	621
(1, 5, 6, 7, 9, 10)	13
(1, 5, 6, 8, 9, 10)	6
(1, 5, 7, 8, 9, 10)	12
(1, 6, 7, 8, 9, 10)	4
(2, 3, 4, 5, 6, 7)	24
(2, 3, 4, 5, 6, 8)	30
(2, 3, 4, 5, 6, 9)	2
(2, 3, 4, 5, 6, 10)	34
(2, 3, 4, 5, 7, 8)	35
(2, 3, 4, 5, 7, 9)	0
(2, 3, 4, 5, 7, 10)	34
(2, 3, 4, 5, 8, 9)	0
(2, 3, 4, 5, 8, 10)	38
(2, 3, 4, 5, 9, 10)	0
(2, 3, 4, 6, 7, 8)	35
(2, 3, 4, 6, 7, 9)	2
(2, 3, 4, 6, 7, 10)	30
(2, 3, 4, 6, 8, 9)	2
(2, 3, 4, 6, 8, 10)	54
(2, 3, 4, 6, 9, 10)	0
(2, 3, 4, 7, 8, 9)	2
(2, 3, 4, 7, 8, 10)	37
(2, 3, 4, 7, 9, 10)	0
(2, 3, 4, 8, 9, 10)	0
(2, 3, 5, 6, 7, 8)	90
(2, 3, 5, 6, 7, 9)	2
(2, 3, 5, 6, 7, 10)	90
(2, 3, 5, 6, 8, 9)	6
(2, 3, 5, 6, 8, 10)	115
(2, 3, 5, 6, 9, 10)	6
(2, 3, 5, 7, 8, 9)	2
(2, 3, 5, 7, 8, 10)	123
(2, 3, 5, 7, 9, 10)	3
(2, 3, 5, 8, 9, 10)	4
(2, 3, 6, 7, 8, 9)	3
(2, 3, 6, 7, 8, 10)	93
(2, 3, 6, 7, 9, 10)	5
(2, 3, 6, 8, 9, 10)	1
(2, 3, 7, 8, 9, 10)	0
(2, 4, 5, 6, 7, 8)	416
(2, 4, 5, 6, 7, 9)	11
(2, 4, 5, 6, 7, 10)	398
(2, 4, 5, 6, 8, 9)	10
(2, 4, 5, 6, 8, 10)	558
(2, 4, 5, 6, 9, 10)	6
(2, 4, 5, 7, 8, 9)	19
(2, 4, 5, 7, 8, 10)	552
(2, 4, 5, 7, 9, 10)	8
(2, 4, 5, 8, 9, 10)	3
(2, 4, 6, 7, 8, 9)	12
(2, 4, 6, 7, 8, 10)	524
(2, 4, 6, 7, 9, 10)	13
(2, 4, 6, 8, 9, 10)	5
(2, 4, 7, 8, 9, 10)	3
(2, 5, 6, 7, 8, 9)	9
(2, 5, 6, 7, 8, 10)	517
(2, 5, 6, 7, 9, 10)	11
(2, 5, 6, 8, 9, 10)	8
(2, 5, 7, 8, 9, 10)	1
(2, 6, 7, 8, 9, 10)	2
(3, 4, 5, 6, 7, 8)	44
(3, 4, 5, 6, 7, 9)	1
(3, 4, 5, 6, 7, 10)	40
(3, 4, 5, 6, 8, 9)	1
(3, 4, 5, 6, 8, 10)	49
(3, 4, 5, 6, 9, 10)	1
(3, 4, 5, 7, 8, 9)	5
(3, 4, 5, 7, 8, 10)	51
(3, 4, 5, 7, 9, 10)	2
(3, 4, 5, 8, 9, 10)	0
(3, 4, 6, 7, 8, 9)	1
(3, 4, 6, 7, 8, 10)	42
(3, 4, 6, 7, 9, 10)	1
(3, 4, 6, 8, 9, 10)	0
(3, 4, 7, 8, 9, 10)	0
(3, 5, 6, 7, 8, 9)	6
(3, 5, 6, 7, 8, 10)	109
(3, 5, 6, 7, 9, 10)	4
(3, 5, 6, 8, 9, 10)	2
(3, 5, 7, 8, 9, 10)	1
(3, 6, 7, 8, 9, 10)	0
(4, 5, 6, 7, 8, 9)	10
(4, 5, 6, 7, 8, 10)	508
(4, 5, 6, 7, 9, 10)	6
(4, 5, 6, 8, 9, 10)	4
(4, 5, 7, 8, 9, 10)	4
(4, 6, 7, 8, 9, 10)	6
(5, 6, 7, 8, 9, 10)	3
